,Tokens,True_Pos_Full,True_Pos
0,The,determiner,DT
1,previous,adjective,JJ
2,master,noun,NN
3,will,modal verb,MD
4,never,adverb,RB
5,have,verb,VB
6,been,verb past,VBN
7,defeated,verb past,VBN
8,.,punctuation,
9,That,?possesive pronoun,PRP
10,will,,
11,be,,
12,the,,
13,end,,
14,of,,
15,it,,
16,.,,
17,There,,
18,would,,
19,be,,
20,time,,
21,to,,
22,talk,,
23,later,,
24,hours,,
25,and,,
26,days,,
27,and,,
28,maybe,,
29,years,,
30,in,,
31,which,,
32,to,,
33,talk,,
34,.,,
35,We,,
36,did,,
37,it,,
38,we,,
39,bashed,,
40,them,,
41,wee,,
42,Potter,,
43,is,,
44,the,,
45,one,,
46,And,,
47,Voldy,,
48,has,,
49,gone,,
50,moldy,,
51,so,,
52,now,,
53,let,,
54,us,,
55,have,,
56,fun,,
57,!,,
58,But,,
59,it,,
60,was,,
61,applause,,
62,.,,
